#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202511091200  1003  1  1  1  6 81  7  20  7.0  -1.0  -9.6  52.0 1006.9 1008.3  2    1.9  -99.0  1  1 22  5  5  2 -9 -999  -1.0  -1.4 -999 -999 -999 -999 -999 -999 0710
202511091200  1007  1  4  1  9 85  3 160  3.0  -4.2 -11.9  55.0 1013.1 1014.1  2    0.3  -99.0  0  1 21  2  0  7  1 -999  -4.0  -5.1 -999 9033 -999 -999 -999 -999 0710
202511091200  1008  1  9  1  6 85  7  10  6.0  -2.7  -9.8  58.1 1008.5 1012.2  2    1.1  -99.0  1  2 22  4  5  1 -9 1200  -2.5  -3.1 -999 6003 -999 0005 -999 -999 0710
202511091200  1010  1  9  6 -9 -9 -9 300 11.0   2.9  -5.4  54.4 1009.3 1010.9  3    0.9    2.0  1 -9 -9 -9 -9 -9 -9 1200   2.9   2.7 -999 -999 -999 0005 -999 -999 0710
202511091200  1015  1  4  6 -9 -9 -9 310 15.0   3.0   0.6  84.2  -99.0  -99.0 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.1   3.0 -999 -999 -999 -999 -999 -999 0710
202511091200  1023  1  9  1 -9 11  9 270  8.0   0.4  -0.3  95.0  999.6 1009.2  3    1.1    2.0  1 86 82  9 -9 -9 -9 -999   1.6   0.4 -999 7007 -999 9935 -999 -999 0710
202511091200  1025  1  4  7  7 -9  7 290  8.0   3.0  -3.9  60.5 1005.7 1006.9  1    1.4  -99.0  0 85 -9 -9 -9 -9 -9 -999   3.1   2.4 -999 -999 -999 -999 -999 -999 0710
202511091200  1026  1  9  1  4 80  7 280  6.0   2.6  -3.3  65.1  992.6 1006.7  1    1.4    6.0  1 87 82  7  9 -9 -9 -999   2.7   1.7 -999 7005 -999 9975 -999 -999 0710
202511091200  1028  1  4  1  3 97  5 360 13.0   1.8  -1.3  79.9  998.4 1000.4  3    2.4  -99.0  0  2 82  5  8  0  0 -999   1.9   1.2 -999 -999 -999 -999 -999 -999 0710
202511091200  1033  1  4  6 -9 -9 -9 310 14.0   2.5   0.6  87.3 1001.0 1004.0  3    1.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999   3.3   1.6 -999 -999 -999 -999 -999 -999 0710
202511091200  1037  1  9  6 -9 -9 -9 310  2.0   1.8  -1.4  79.3 1002.6 1005.0  3    0.9    3.0  1 -9 -9 -9 -9 -9 -9 -999   1.8   1.0 -999 -999 -999 9925 -999 -999 0710
202511091200  1045  1  9  6 -9 -9 -9 280 13.0   2.2   1.0  91.8  -99.0  -99.0 -1  -99.0    4.0  1 -9 -9 -9 -9 -9 -9 -999   2.6   2.2 -999 -999 -999 9915 -999 -999 0710
202511091200  1046  1  4  6 -9 -9 -9 310  9.0   1.6  -0.3  87.2 1002.9 1003.5  3    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   2.5   1.6 -999 -999 -999 -999 -999 -999 0710
202511091200  1047  1  4  1  5 87  3 270  5.0  -1.1  -5.2  73.7  964.4 1002.3  3    0.5  -99.0  0  3 00  3  9  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202511091200  1049  1  9  6 -9 -9 -9 310 15.0   2.3   0.2  86.0  997.6  998.0  3    0.9    2.0  1 -9 -9 -9 -9 -9 -9 -999   3.6   1.8 -999 -999 -999 9935 -999 -999 0710
202511091200  1052  1  9  6 -9 -9 -9 340 11.0   1.7  -1.7  78.1  987.1  997.0  3    3.2    1.0  1 -9 -9 -9 -9 -9 -9 -999   3.3   1.5 -999 -999 -999 9955 -999 -999 0710
202511091200  1055  1  4  6 -9 -9 -9  10 19.0   3.2   0.8  84.2  988.9  990.6  1    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 1200   4.1   2.8 -999 -999 -999 -999 -999 -999 0710
202511091200  1058  1  9  6 -9 -9 -9 300 13.0  -1.0  -1.8  94.3  952.2  998.3  3    0.9    3.0  1 -9 -9 -9 -9 -9 -9 -999  -1.0  -1.3 -999 -999 -999 0015 -999 -999 0710
202511091200  1059  1  4  6 -9 -9 -9 290 15.0   3.0  -1.6  71.7  994.0  994.9  5    0.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999   3.2   2.2 -999 -999 -999 -999 -999 -999 0710
202511091200  1062  1  4  1  5 98  6 350  3.0   0.0  -1.8  87.7  997.6  998.9  2    1.2  -99.0  0  1 22  5  5  7  0 -999   0.0  -0.4 -999 -999 -999 -999 -999 -999 0710
202511091200  1065  1  9  1 -9  8  9 250  5.0  -0.3  -0.3 -99.0  980.4  996.5  5    0.8    0.7  1 73 30  9 -9 -9 -9 -999   0.2  -0.5 -999 -999 -999 9935 -999 -999 0710
202511091200  1076  1  9  6 -9 -9 -9 300  5.0   2.0  -3.7  65.9  985.6  989.5  6    3.7    0.6  1 -9 -9 -9 -9 -9 -9 -999   2.1   1.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1078  1  4  6 -9 -9 -9  90 13.0   0.0  -0.3  97.8  987.0  988.0  5    2.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   0.0  -0.7 -999 -999 -999 -999 -999 -999 0710
202511091200  1082  1  9  6 -9 -9 -9  -9 -9.0  -1.0  -4.0  80.0  988.0  994.8  7    2.4  -99.0  1 -9 -9 -9 -9 -9 -9 -999  -1.0  -1.4 -999 -999 -999 0005 -999 -999 -999
202511091200  1089  1  4  6 -9 -9 -9 220 10.0  -2.4  -4.7  84.2  980.6  991.3  8    4.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  -2.4  -3.4 -999 -999 -999 -999 -999 -999 0710
202511091200  1098  1  9  6 -9 -9 -9 240  9.0  -1.4  -1.5  99.3  987.7  989.5  8    3.3  -99.0  1 -9 -9 -9 -9 -9 -9 1200  -1.4  -2.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1102  1  4  6 -9 -9 -9  20  8.0   4.2  -4.5  53.1 1014.2 1016.1  2    0.7  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.5   3.9 -999 -999 -999 -999 -999 -999 0710
202511091200  1107  1  1  6 -9 -9 -9 360 13.0   3.2   1.7  89.9 1016.0 1016.4  3    0.9  -99.0  1 -9 -9 -9 -9 -9 -9 -999   5.2   3.2 -999 -999 -999 -999 -999 -999 0710
202511091200  1108  1  9  6 -9 -9 -9  80  4.0   2.7  -4.7  58.1 1015.7 1016.8  2    0.7  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.6   2.7 -999 -999 -999 0005 -999 -999 0710
202511091200  1114  1  9  6 -9 -9 -9  50  2.0  -0.3  -2.0  88.3 1015.6 1016.7  2    0.6    1.0  1 -9 -9 -9 -9 -9 -9 -999   0.2  -0.3 -999 -999 -999 9955 -999 -999 0710
202511091200  1115  1  9  6 -9 -9 -9 330  5.0   2.9   0.5  84.2 1014.5 1016.6  1    0.7    0.8  1 -9 -9 -9 -9 -9 -9 1200   3.9   2.8 -999 -999 -999 9975 -999 -999 0710
202511091200  1121  1  4  6 -9 -9 -9 210  1.0   3.5  -4.4  56.2 1015.9 1017.2  3    0.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999   3.5   3.4 -999 -999 -999 -999 -999 -999 0710
202511091200  1122  1  9  6 -9 -9 -9 360  1.0  -0.3  -1.4  92.3 1007.8 1017.0  2    0.8  -99.0  1 -9 -9 -9 -9 -9 -9 -999   0.3  -0.4 -999 -999 -999 0005 -999 -999 0710
202511091200  1132  1  9  6 -9 -9 -9  30  2.0  -0.6  -3.4  81.3  976.7 1016.3  3    0.5  -99.0  1 -9 -9 -9 -9 -9 -9 -999  -0.3  -0.6 -999 -999 -999 0005 -999 -999 0710
202511091200  1135  1  9  6 -9 -9 -9 110  2.0  -1.8  -4.4  82.4 1001.6 1017.2  2    0.7  -99.0  1 -9 -9 -9 -9 -9 -9 -999  -1.5  -2.1 -999 -999 -999 0005 -999 -999 0710
202511091200  1143  1  9  6 -9 -9 -9  -9 -9.0   1.2   0.2  93.0  -99.0  -99.0 -1  -99.0    3.0  1 -9 -9 -9 -9 -9 -9 -999   1.9   1.2 -999 -999 -999 0015 -999 -999 -999
202511091200  1144  1  4  6 -9 -9 -9 320  8.0   4.4  -0.8  68.9  -99.0  -99.0 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.8   3.5 -999 -999 -999 -999 -999 -999 0710
202511091200  1147  1  9  6 -9 -9 -9   0  0.0  -0.6  -5.4  69.9  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   0.6  -0.7 -999 -999 -999 0005 -999 -999 0710
202511091200  1150  1  9  6 -9 -9 -9 110  1.0  -4.7  -5.8  92.0  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999  -3.9  -4.7 -999 -999 -999 0005 -999 -999 0710
202511091200  1152  1  9  6 -9 -9 -9 310  6.0   4.4  -1.6  65.0 1013.3 1015.0  3    0.2    0.2  1 -9 -9 -9 -9 -9 -9 -999   4.4   2.9 -999 -999 -999 0005 -999 -999 0710
202511091200  1156  1  9  6 -9 -9 -9 340 12.0   3.7  -2.1  65.8 1011.4 1013.6  3    0.9    0.3  1 -9 -9 -9 -9 -9 -9 -999   4.3   3.2 -999 -999 -999 9915 -999 -999 0710
202511091200  1160  1  4  6 -9 -9 -9 330  9.0   4.1  -1.3  67.8 1012.4 1013.8  3    1.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.3   3.1 -999 -999 -999 -999 -999 -999 0710
202511091200  1169  1  9  6 -9 -9 -9  -9 -9.0  -1.7  -1.7 -99.0 1010.8 1015.5  2    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 -999  -0.6  -1.7 -999 -999 -999 0005 -999 -999 -999
202511091200  1180  1  9  6 -9 -9 -9 310  8.0   2.6  -3.9  62.2 1005.9 1011.5  1    1.0    4.0  1 -9 -9 -9 -9 -9 -9 -999   2.9   1.1 -999 -999 -999 9925 -999 -999 0710
202511091200  1192  1  9  6 -9 -9 -9 290  6.0   1.1  -2.5  76.9  -99.0  -99.0 -1  -99.0    2.0  1 -9 -9 -9 -9 -9 -9 -999   1.5   0.5 -999 -999 -999 9975 -999 -999 0710
202511091200  1203  1  4  6 -9 -9 -9 180  5.0  11.7   8.6  81.3 1006.2 1011.0  8    0.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999  11.9  11.7 -999 -999 -999 -999 -999 -999 0710
202511091200  1205  1  4  6 -9 -9 -9 360  0.0  11.2 -99.0 -99.0 1006.3 1010.8  7    0.3  -99.0  0 -9 -9 -9 -9 -9 -9 1200  11.2  10.9 -999 -999 -999 -999 -999 -999 0710
202511091200  1210  1  4  6 -9 -9 -9  60  5.0  10.1   9.3  94.8 1008.7 1011.3  8    0.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999  10.4  10.0 -999 -999 -999 -999 -999 -999 0710
202511091200  1212  1  4  6 -9 -9 -9  60 10.0   8.6   7.9  95.4 1009.6 1011.4  7    0.4  -99.0  0 -9 -9 -9 -9 -9 -9 1200   8.8   8.5 -999 -999 -999 -999 -999 -999 0710
202511091200  1218  1  9  6 -9 -9 -9  50  0.0   9.8   7.8  87.3 1009.4 1011.5  8    0.6  -99.0  1 -9 -9 -9 -9 -9 -9 -999   9.8   9.1 -999 -999 -999 0005 -999 -999 0710
202511091200  1225  1  4  6 -9 -9 -9  60 10.0   7.3   3.2  75.2 1013.0 1013.5  0    0.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999   7.7   7.2 -999 -999 -999 -999 -999 -999 0710
202511091200  1228  1  4  6 -9 -9 -9  80  8.0   6.4 -99.0 -99.0 1013.9 1014.6  0    0.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999   6.7   6.4 -999 -999 -999 -999 -999 -999 0710
202511091200  1230  1  9  6 -9 -9 -9 100  2.0   3.1   1.8  91.2  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.3   2.7 -999 -999 -999 0005 -999 -999 0710
202511091200  1232  1  9  6 -9 -9 -9 170  3.0   8.4   3.9  73.3 1004.3 1012.2  8    0.6  -99.0  1 -9 -9 -9 -9 -9 -9 -999   8.4   8.1 -999 -999 -999 0005 -999 -999 0710
202511091200  1233  1  9  6 -9 -9 -9 150  1.0   2.0   2.0 -99.0  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   2.2   1.6 -999 -999 -999 0005 -999 -999 0710
202511091200  1234  1  9  6 -9 -9 -9  40  5.0   6.5   3.6  81.7  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   6.7   6.3 -999 -999 -999 0005 -999 -999 0710
202511091200  1237  1  9  6 -9 -9 -9  30  6.0   6.0   3.3  82.8 1012.8 1014.4  0    0.3    0.3  1 -9 -9 -9 -9 -9 -9 -999   6.7   6.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1238  1  9  1  4 68  7  10  0.0   5.5   2.5  81.0  899.4 1011.5  7    0.3  -99.0  1 41 42  1  6  7 -9 -999   5.7   4.4 -999 -999 -999 0005 -999 -999 0710
202511091200  1240  1  4  6 -9 -9 -9  50  6.0   6.0   0.2  66.3 1013.4 1015.4  2    0.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999   6.3   6.0 -999 -999 -999 -999 -999 -999 0710
202511091200  1241  1  1  1  5 88  7  60  4.0   5.0   1.3  77.0 1013.9 1015.0  0    0.4  -99.0  1  1 62  7  5  7 -9 -999   5.4   5.0 -999 -999 -999 -999 -999 -999 0710
202511091200  1245  1  9  6 -9 -9 -9  50  1.0   4.8   4.1  95.2  942.5 1012.7  2    0.2  -99.0  1 -9 -9 -9 -9 -9 -9 -999   5.0   4.5 -999 -999 -999 0005 -999 -999 0710
202511091200  1253  1  9  6 -9 -9 -9 340  1.0   4.4   4.0  97.2  -99.0  -99.0 -1  -99.0    0.9  1 -9 -9 -9 -9 -9 -9 -999   4.7   4.4 -999 -999 -999 0005 -999 -999 0710
202511091200  1254  1  9  6 -9 -9 -9 320  2.0   5.6   4.9  95.2  -99.0  -99.0 -1  -99.0    1.0  1 -9 -9 -9 -9 -9 -9 -999   5.8   5.6 -999 -999 -999 9915 -999 -999 0710
202511091200  1257  1  9  6 -9 -9 -9  40  3.0   4.2   2.1  86.2  998.4 1014.6  0    0.3    0.4  1 -9 -9 -9 -9 -9 -9 -999   4.5   4.2 -999 -999 -999 0005 -999 -999 0710
202511091200  1259  1  4  6 -9 -9 -9  60  4.0   5.1  -0.7  66.1 1013.4 1015.7  0    0.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999   5.1   4.5 -999 -999 -999 -999 -999 -999 0710
202511091200  1262  1  4  6 -9 -9 -9  40 10.0   4.7  -2.1  61.3  -99.0  -99.0 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   5.2   4.6 -999 -999 -999 -999 -999 -999 0710
202511091200  1265  1  9  6 -9 -9 -9 300  1.0   3.3   2.1  91.8  955.5 1013.7  8    0.3  -99.0  1 -9 -9 -9 -9 -9 -9 -999   3.3   2.6 -999 -999 -999 0005 -999 -999 0710
202511091200  1271  1  9  7  5 -9  8  80  3.0   5.1   2.7  84.5 1012.1 1014.5  2    0.4    0.2  1  0 -9 -9 -9 -9 -9 1200   5.5   5.1 -999 -999 -999 0005 -999 -999 0710
202511091200  1273  1  9  6 -9 -9 -9  40  2.0   5.0   3.5  90.0  994.5 1014.3  0    0.2    0.6  1 -9 -9 -9 -9 -9 -9 -999   5.7   5.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1277  1  9  6 -9 -9 -9  20  3.0   2.6   0.3  84.8 1014.4 1015.2  1    0.4  -99.0  1 -9 -9 -9 -9 -9 -9 -999   2.6   2.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1281  1  9  6 -9 -9 -9  60  1.0   1.3   0.7  95.8  998.4 1015.9  2    0.6  -99.0  1 -9 -9 -9 -9 -9 -9 -999   1.9   1.3 -999 -999 -999 0005 -999 -999 0710
202511091200  1288  1  4  1  3 50  8 250  2.0   4.2   2.8  90.6  938.6 1012.9  4    0.1  -99.0  0 50 22  8  6 -9 -9 1200   4.3   3.9 -999 -999 -999 -999 -999 -999 0710
202511091200  1291  1  9  6 -9 -9 -9 170  1.0   2.2   1.8  97.2  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   2.2   1.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1293  1  9  6 -9 -9 -9 340  1.0   4.8   2.0  82.0  993.1 1013.9  0    0.2    0.2  1 -9 -9 -9 -9 -9 -9 -999   5.2   4.8 -999 -999 -999 0005 -999 -999 0710
202511091200  1304  1  4  6 -9 -9 -9 140  7.0  10.9  10.1  94.8 1008.0 1011.1  8    0.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999  11.2  10.7 -999 -999 -999 -999 -999 -999 0710
202511091200  1307  1  4  6 -9 -9 -9 150  8.0  11.1  10.3  94.8 1009.2 1011.5  8    0.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999  11.2  11.0 -999 -999 -999 -999 -999 -999 0710
202511091200  1311  1  9  7  5 62  8 140  4.0  10.3   9.9  97.4 1006.1 1012.2  8    0.4    0.9  1 81 -9 -9 -9 -9 -9 -999  10.4  10.2 -999 -999 -999 9925 -999 -999 0710
202511091200  1314  1  9  6 -9 -9 -9 360  1.0   8.7   8.3  97.3  -99.0  -99.0 -1  -99.0    1.0  1 -9 -9 -9 -9 -9 -9 -999   8.9   8.7 -999 -999 -999 9955 -999 -999 0710
202511091200  1317  1  9  1  3 68  8 190  3.0  10.9   9.9  93.5 1008.0 1012.3  8    0.1    1.0  1 60 65  7  5  7 -9 -999  10.9  10.9 -999 -999 -999 9955 -999 -999 0710
202511091200  1321  1  9  6 -9 -9 -9 210  1.0   9.4   6.8  83.8  986.2 1011.1  8    0.7  -99.0  1 -9 -9 -9 -9 -9 -9 -999   9.5   9.2 -999 -999 -999 0005 -999 -999 0710
202511091200  1327  1  9  6 -9 -9 -9  60  1.0   7.6   7.5  99.3  958.3 1012.6  0    0.1    0.4  1 -9 -9 -9 -9 -9 -9 -999   7.7   7.1 -999 -999 -999 0005 -999 -999 0710
202511091200  1329  1  9  6 -9 -9 -9 340  0.0   8.8   8.2  96.0 1007.4 1013.9  7    0.3    1.0  1 -9 -9 -9 -9 -9 -9 -999   8.9   8.7 -999 -999 -999 9985 -999 -999 0710
202511091200  1332  1  9  6 -9 -9 -9 310  1.0   8.6 -99.0 -99.0  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   8.7   8.5 -999 -999 -999 0005 -999 -999 0710
202511091200  1337  1  9  6 -9 -9 -9 260  1.0   8.3   7.4  94.0 1006.1 1012.8  8    0.5  -99.0  1 -9 -9 -9 -9 -9 -9 -999   8.4   8.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1338  1  9  6 -9 -9 -9  70  1.0   8.7 -99.0 -99.0 1006.7 1010.7  7    0.5  -99.0  1 -9 -9 -9 -9 -9 -9 -999   8.8   8.5 -999 -999 -999 0005 -999 -999 0710
202511091200  1340  1  9  6 -9 -9 -9  90  1.0   7.7   4.7  81.3  926.5 1012.2  7    0.3  -99.0  1 -9 -9 -9 -9 -9 -9 -999   7.8   7.0 -999 -999 -999 0005 -999 -999 0710
202511091200  1344  1  9  6 -9 -9 -9  -9 -9.0   7.0   4.8  85.9  -99.0  -99.0 -1  -99.0  -99.0  1 -9 -9 -9 -9 -9 -9 -999   7.1   6.7 -999 -999 -999 0005 -999 -999 -999
202511091200  1350  1  4  6 -9 -9 -9  -9 -9.0   4.3   0.6  76.8  873.6 1011.5  7    0.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999   4.8   4.2 -999 -999 -999 -999 -999 -999 -999
202511091200  1355  1  4  6 -9 -9 -9  -9 -9.0   8.0   6.1  87.8 1012.6 1013.1  7    0.6  -99.0  0 -9 -9 -9 -9 -9 -9 -999   8.0   7.5 -999 -999 -999 -999 -999 -999 -999
