#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
198011091200 47003  9  9  9 -9 70  0  -9  0.0  -2.0  -5.0  80.0  -99.0 1018.6 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   5.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47008  9  9  9 -9 63  0  -9  0.0   2.0  -2.0  75.0  -99.0 1018.0 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  10.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47014  9  9  9 -9 50  0  -9  0.0   0.0 -13.0  37.0  -99.0 1019.8 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   7.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47016  9  9  9 -9 70  0  -9  0.0  -3.0  -8.0  68.0  -99.0 1023.1 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   6.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47020  9  9  9 -9 65  8  -9  0.0   3.0  -1.0  75.0  -99.0 1019.5 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999   8.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47025  9  9  9 -9 60  0 360  0.5   4.0  -3.0  60.0  -99.0 1017.5 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  12.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47035  9  9  9 -9 65  7 200  0.5   7.0   4.0  81.0  -99.0 1020.1 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  10.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47041  9  9  9 -9 70  0 230  0.5   8.0  -1.0  53.0  -99.0 1020.5 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  14.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47055  9  9  9 -9 70  0 270  0.5   8.0   0.0  57.0  -99.0 1021.5 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  11.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47058  9  9  9 -9 56  0 250  0.5   6.0   0.0  65.0  -99.0 1022.7 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  12.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47065  9  9  9 -9 67  0  90  1.0   5.0   0.0  70.0  -99.0 1023.0 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  13.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47069  9  9  9 -9 60  0  -9  0.0   6.0   1.0  70.0  -99.0 1023.3 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  13.0 -99.0 -999 -999 -999 -999 -999 -999 -999
198011091200 47070  9  9  9 -9 70  0  -9  0.0   3.0  -2.0  70.0  -99.0 1024.4 -1  -99.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999  11.0 -99.0 -999 -999 -999 -999 -999 -999 -999
#7777END
